food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine	Aspartic Acid_std	Histidine_std	Lysine_std	Glutamic Acid_std	Methionine_std	Phenylalanine_std	Valine_std	Proline_std	Cystine_std	Glycine_std	Arginine_std	Leucine_std	Threonine_std	Tryptophan_std	Alanine_std	Tyrosine_std	Serine_std	Isoleucine_std
A	CEREALS AND MILLETS																																					
C034	Tamarind leaves, tender (Tamarindus indica)	3	6.63	5.58	8.29	13.45	5.81	4.68	4.32	3.93	2.19	4.2	8.7	4.69	1.26	0.63	4.86	4.64	1.47	5.65	1.27	0.05	0.21	1.16	0.1	0.59	0.38	0.85	0.03	0.5	0.2	0.67	0.34	0.06	0.61	0.28	0.27	0.04
D015	Brinjal-6 (Solanum melongena)	2	5.5	4.7	15.15	22.59	4.78	3.64	3.57	4.46	2.31	3.14	5.77	3.67	0.76	0.63	4.6	2.69	0.68	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D016	Brinjal-7 (Solanum melongena)	1	7.03	5.34	14.02	17.88	4.32	4.19	4.67	3.01	2.11	3.44	6.18	4.25	0.95	0.99	4.85	3.03	0.7	4.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D017	Brinjal-8 (Solanum melongena)	3	5.75	5.37	15.4	19.63	4.6	3.9	4.22	3.32	2.47	4.62	6.84	5.27	0.94	0.76	4.84	2.94	0.6	5.77	1.02	0.16	0.35	1.11	0.02	0.31	0.43	0.49	0.15	0.28	0.35	0.52	0.12	0.12	0.75	0.34	0.27	0.45
D018	Brinjal-9 (Solanum melongena)	2	5.31	5.97	16.1	15.96	4.63	3.96	4.01	2.99	2.39	4.44	6.51	4.94	1.03	0.81	4.31	2.97	0.75	5.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D019	Brinjal-10 (Solanum melongena)	2	4.39	5.95	15.27	21.73	3.66	3.25	3.01	2.48	1.72	3.38	5.63	3.93	0.59	0.59	4.46	2.71	1.07	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D020	Brinjal-11 (Solanum melongena)	6	5.71	4.98	16.71	20.98	4.28	3.49	3.82	2.88	1.79	3.35	5.24	3.15	0.81	0.79	4.75	3.04	0.73	4.36	1.98	0.28	0.64	2.17	0.18	0.28	1.45	0.92	0.12	0.76	1.07	0.9	0.38	0.28	1.69	0.68	0.71	1.0
D021	Brinjal-12 (Solanum melongena)	2	5.07	5.25	15.62	19.92	4.18	3.04	3.46	2.51	2.71	3.98	5.68	4.06	1.0	0.51	4.43	3.33	0.71	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D022	Brinjal-13 (Solanum melongena)	1	5.43	5.57	16.67	18.85	3.71	3.74	3.82	2.79	2.3	4.12	5.77	4.66	0.76	0.84	5.47	3.43	0.8	5.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D023	Brinjal-14 (Solanum melongena)	3	5.37	5.23	16.21	19.59	3.91	4.08	3.35	2.6	2.12	3.98	5.34	4.26	0.84	0.63	4.29	2.84	0.9	4.82	0.69	0.26	0.18	2.16	0.21	0.33	0.26	0.36	0.18	0.14	0.35	0.8	0.34	0.1	0.29	0.49	0.37	0.47
D024	Brinjal-15 (Solanum melongena)	4	5.31	4.48	16.23	20.53	3.81	3.26	3.79	2.68	1.64	3.09	5.1	3.55	0.7	0.53	4.51	2.85	0.91	4.48	0.72	0.26	0.28	1.76	0.22	0.75	1.18	0.46	0.14	0.11	1.25	0.91	0.22	0.2	0.34	0.57	0.64	0.55
D025	Brinjal-16 (Solanum melongena)	1	5.54	5.43	16.88	21.96	3.85	3.12	3.85	2.17	2.21	3.9	6.04	3.23	0.78	0.59	3.52	2.92	0.73	4.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D026	Brinjal-17 (Solanum melongena)	1	5.19	5.61	15.45	19.39	3.94	3.28	3.83	2.99	2.24	3.79	5.6	4.7	0.8	0.84	4.35	3.08	0.89	4.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D027	Brinjal-18 (Solanum melongena)	3	5.51	4.98	15.68	21.38	3.82	3.39	3.87	2.83	1.67	3.14	5.45	3.29	0.6	0.49	4.41	2.51	0.89	3.31	0.24	0.26	0.03	1.48	0.31	0.13	1.31	0.8	0.15	0.07	0.3	0.42	0.35	0.21	0.6	0.12	0.26	0.6
D028	Brinjal-19 (Solanum melongena)	3	5.7	4.34	16.98	21.76	3.64	3.73	4.28	3.16	1.93	3.73	6.23	3.9	0.84	0.63	4.63	2.95	0.83	3.75	1.41	0.31	0.97	3.24	0.32	0.87	1.73	0.57	0.16	0.15	0.88	0.69	0.42	0.21	0.36	0.41	0.01	0.59
